City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,enriquillo,17.9,-71.2333,25.82,68,57,2.79,DO,1706999017
239,praia da vitoria,38.7333,-27.0667,16.14,77,20,5.41,PT,1706999017
240,saipan,15.1355,145.701,26.39,73,75,8.23,MP,1706998850
241,kruisfontein,-34.0033,24.7314,20.49,93,100,0.71,ZA,1706999018
242,ilulissat,69.2167,-51.1,-21.99,54,40,1.03,GL,1706999018
243,chamba,32.5667,76.1333,10.11,88,100,0.61,IN,1706999019
244,fecamp,49.7579,0.3746,9.84,93,100,6.32,FR,1706999020
245,puerto san jose,13.9256,-90.8244,30.1,52,0,8.65,GT,1706999020
246,urangan,-25.3,152.9,29.55,75,57,4.92,AU,1706999021
247,el quebrachal,-25.2833,-64.0667,41.27,15,5,3.4,AR,1706999021
248,carnarvon,-24.8667,113.6333,22.74,77,2,11.49,AU,1706999021
249,yanykurgan,43.915,67.2481,-4.61,89,100,2.68,KZ,1706999022
250,barclayville,4.6797,-8.2339,26.72,83,88,1.88,LR,1706999022
251,chernomorskoye,45.5039,32.6997,6.25,87,100,9.77,UA,1706999023
252,torghay,49.6339,63.4981,-2.23,94,100,6.22,KZ,1706999024
253,oltinko'l,40.8011,72.1634,1.82,57,100,1.33,UZ,1706999024
254,pokhara,28.2333,83.9833,10.65,29,5,2.25,NP,1706999024
255,urumqi,43.801,87.6005,-15.47,92,100,2.0,CN,1706999025
256,jumla,29.2747,82.1838,2.06,54,18,2.17,NP,1706999025
257,lihue,21.9789,-159.3672,23.58,54,100,10.8,US,1706998826
258,cienaga,11.007,-74.2476,30.8,74,20,5.14,CO,1706999026
259,i-n-salah,27.1935,2.4607,13.83,38,0,7.48,DZ,1706999028
260,vryburg,-26.9566,24.7284,23.22,39,73,1.56,ZA,1706999028
261,feodosiya,45.0333,35.3833,6.49,79,100,8.49,UA,1706999029
262,karratha,-20.7377,116.8463,27.01,75,86,7.68,AU,1706999029
263,kigorobya,1.6162,31.3089,22.62,43,50,0.91,UG,1706999029
264,wetumpka,32.5437,-86.2119,19.97,53,100,4.06,US,1706999030
265,nizhnyaya tavda,57.6731,66.1725,-14.54,96,100,4.18,RU,1706999030
266,qamdo,31.1667,97.2333,-13.54,52,42,2.29,CN,1706999031
267,aykhal,66.0,111.5,-27.2,70,95,1.61,RU,1706999031
268,coron,11.9986,120.2043,24.74,79,7,2.13,PH,1706999032
269,el granada,37.5027,-122.4694,14.57,72,100,3.6,US,1706999032
270,chonchi,-42.6128,-73.8092,18.56,50,70,1.11,CL,1706999032
271,mihai viteazu,46.5333,23.75,2.09,91,95,1.34,RO,1706999033
272,wagar,16.1525,36.2032,19.96,52,9,5.56,SD,1706999033
273,enewetak,11.3474,162.3373,26.5,83,83,10.04,MH,1706999033
274,cockburn town,21.4612,-71.1419,23.25,61,0,2.2,TC,1706999034
275,celestun,20.8667,-90.4,26.15,71,0,6.13,MX,1706999034
276,ta`u,-14.2336,-169.5144,27.2,88,100,9.16,AS,1706998787
277,sechenovo,55.2244,45.8906,-14.09,98,96,2.5,RU,1706999036
278,camana,-16.6228,-72.7111,23.33,84,96,2.22,PE,1706999036
279,aasiaat,68.7098,-52.8699,-31.01,97,76,2.17,GL,1706998789
280,yeppoon,-23.1333,150.7333,26.88,63,11,5.53,AU,1706999037
281,manismata,-2.4667,111.0333,23.91,97,100,0.95,ID,1706999038
282,katoro,-3.0203,31.8958,17.53,90,66,0.63,TZ,1706999038
283,lazaro cardenas,17.9583,-102.2,27.57,58,0,5.11,MX,1706999025
284,pugachev,52.0133,48.8025,-7.88,95,81,4.43,RU,1706999040
285,minas de marcona,-15.2119,-75.1103,21.2,74,74,4.99,PE,1706999040
286,petauke,-14.2426,31.3253,18.45,89,28,2.03,ZM,1706999041
287,jincheng,35.5022,112.8328,-5.05,95,100,0.31,CN,1706999041
288,kunyang,27.6658,120.5658,9.22,89,100,1.96,CN,1706999042
289,flying fish cove,-10.4217,105.6791,22.82,100,78,0.0,CX,1706999042
290,codrington,-38.2667,141.9667,20.07,55,0,2.75,AU,1706999044
291,sakakah,29.9697,40.2064,7.76,57,1,1.26,SA,1706999044
292,pesqueira,-8.3578,-36.6964,26.24,54,94,7.54,BR,1706999044
293,sligo,54.2697,-8.4694,8.16,75,100,5.11,IE,1706999045
294,masinigudi,11.5667,76.6667,18.42,87,68,1.4,IN,1706999045
295,terespol,52.0755,23.6161,6.11,78,76,8.6,PL,1706999046
296,basco,20.4487,121.9702,24.29,88,0,7.65,PH,1706999046
297,acarau,-2.8856,-40.12,27.37,81,89,6.46,BR,1706999047
298,kiunga,-6.1219,141.2906,23.83,98,99,1.15,PG,1706999050
299,afaahiti,-17.75,-149.2833,29.93,76,61,3.48,PF,1706999057
300,hamilton,39.1834,-84.5333,10.4,62,0,5.66,US,1706999037
301,huadian,42.9633,126.7478,-27.51,100,77,0.1,CN,1706999067
302,farah,32.5,62.5,3.56,41,0,2.27,AF,1706999069
303,hadibu,12.65,54.0333,23.95,81,16,3.58,YE,1706999070
304,n'zeto,-7.2312,12.8666,27.42,83,97,2.01,AO,1706999070
305,cadillac,44.2519,-85.4012,3.77,66,0,0.28,US,1706999071
306,khilok,51.3674,110.4676,-22.89,98,60,1.25,RU,1706999071
307,xining,36.6167,101.7667,-11.53,82,80,1.25,CN,1706998916
308,pompeu,-19.2244,-44.9353,23.17,72,100,1.86,BR,1706999077
309,stephenville,32.2207,-98.2023,18.85,34,0,5.14,US,1706999082
310,charters towers,-20.1,146.2667,25.54,71,100,5.05,AU,1706999084
311,mil'kovo,55.6078,37.7956,-1.44,90,100,3.76,RU,1706999085
312,san angelo,31.4638,-100.437,18.3,28,75,13.89,US,1706999086
313,piti village,13.4626,144.6933,26.49,85,40,7.2,GU,1706999086
314,san patricio,28.017,-97.5169,25.97,40,0,6.41,US,1706999087
315,redencao,-4.2258,-38.7306,24.42,90,53,1.44,BR,1706999087
316,port hedland,-20.3167,118.5667,28.03,83,100,8.75,AU,1706999087
317,koidu,8.4167,-10.8333,24.82,39,5,1.07,SL,1706999088
318,san julian,21.0167,-102.1667,20.66,19,0,9.33,MX,1706999088
319,sao jose de piranhas,-7.1206,-38.5019,28.05,52,87,1.77,BR,1706999088
320,alofi,-19.0595,-169.9187,30.94,70,100,4.63,NU,1706999089
321,pokaran,26.9167,71.9167,17.31,72,100,2.61,IN,1706999089
322,chapaev,50.2,51.1667,-2.98,89,92,5.87,KZ,1706999090
323,usogorsk,63.4106,48.6872,-7.96,95,99,3.44,RU,1706998756
324,kirensk,57.7853,108.1119,-31.69,100,55,0.45,RU,1706999091
325,muroto-misakicho,33.2833,134.15,9.27,86,100,6.82,JP,1706999091
326,kimbe,-5.5502,150.1429,27.9,80,35,1.08,PG,1706999092
327,boysun,38.2061,67.1986,-2.32,95,99,2.46,UZ,1706999092
328,kuta,-8.7233,115.1723,26.97,83,75,2.68,ID,1706999092
329,atlantic,39.4668,-74.6663,6.82,69,0,2.06,US,1706999093
330,santiago de cao,-7.9589,-79.2392,24.07,83,75,3.6,PE,1706999093
331,susuman,62.7833,148.1667,-28.9,99,100,1.34,RU,1706999093
332,nikolayevsk-on-amure,53.1406,140.73,-24.53,99,71,1.85,RU,1706999094
333,kavieng,-2.5744,150.7967,28.69,76,61,1.6,PG,1706999094
334,hotan,37.0997,79.9269,-4.96,83,97,0.71,CN,1706999094
335,sao jose da coroa grande,-8.8978,-35.1478,26.74,78,27,3.2,BR,1706999095
336,skelleftea,64.7507,20.9528,-0.56,99,100,5.66,SE,1706999095
337,masallatah,32.6167,14.0,12.19,66,45,3.25,LY,1706999095
338,las palmas,28.4204,-14.0131,16.44,68,0,4.12,ES,1706999096
339,port saint john's,-31.6229,29.5448,22.91,86,95,4.37,ZA,1706999096
340,vacha,55.8008,42.7706,-10.58,97,100,2.78,RU,1706999096
341,vorkuta,67.5,64.0,-22.19,97,68,2.06,RU,1706999097
342,kokuy,52.2037,117.5529,-32.75,100,60,0.35,RU,1706999097
343,amga,60.8953,131.9608,-33.29,100,100,0.61,RU,1706999097
344,slavicin,49.088,17.8735,8.68,91,100,4.04,CZ,1706999098
345,bengkulu,-3.8004,102.2655,23.97,90,100,2.19,ID,1706999098
346,cho dok,10.7,105.1167,21.3,90,19,1.86,VN,1706999099
347,barcelos,41.5388,-8.6151,13.84,80,26,1.16,PT,1706999099
348,yaren,-0.5472,166.916,29.1,75,100,6.34,NR,1706999099
349,pasighat,28.0667,95.3333,10.77,65,32,1.92,IN,1706999100
350,shirwal,18.1333,73.9833,22.53,40,8,0.37,IN,1706999100
351,myrhorod,49.9685,33.6089,4.56,91,100,7.61,UA,1706999101
352,kuching,1.55,110.3333,27.23,95,40,1.03,MY,1706998910
353,grand baie,-20.0182,57.5802,25.26,79,83,0.89,MU,1706999102
354,pocone,-16.2567,-56.6228,28.21,56,100,4.31,BR,1706999102
355,nyurba,63.2842,118.3319,-24.71,91,95,3.38,RU,1706999103
356,breves,-1.6822,-50.4803,25.22,91,17,1.44,BR,1706999103
357,remire-montjoly,4.9167,-52.2667,28.02,83,20,3.6,GF,1706999104
358,howrah,22.5892,88.3103,18.0,88,0,1.54,IN,1706999104
359,lata,40.1629,-8.3327,11.07,84,27,1.05,PT,1706999104
360,kambar,27.5868,68.001,14.88,75,98,3.41,PK,1706999105
